product_id,name,brand,item_number,price,barcode,quantity_in_stock,unit_size,description,expiry_date,taxable,stock_bought,stock_sold,stock_expired,price_per_unit,category_id,status
2069,WEBBER NATURALS VITAMIN K2 VEGETARIAN CAPS 75,Webber Natural,186240,16.99,625273039306,1,75 caps,,2029-04-30,t,1,0,0,9.84,109,t
2123,OMEGA COMPLETE SUPER KRILL 500MG SOFTGEL 100 JAM,jamieson,80922,55.99,64642078445,7,100 softgels,,2027-05-31,t,6,0,0,35.36,109,t
2096,STRAIGHT CANES,Card Health Care,6.52E+11,39.99,652308705066,2,1 cane,"",,t,3,1,0,0.00,115,t
2149,BRONCHOPHAN EXP SUGAR/ALCOHOL FREE 250ML ATL,,37085,13.99,68625179914,9,250ml,,2029-02-28,t,10,1,0,7.69,109,t
2152,ORAJEL SEVERE TRIPLE MEDICATED GEL 7G,orajel,118936,11.99,59972102267,5,2,,2027-08-31,t,8,3,0,7.09,109,t
2115,NATURE'S BOUNTY VITAMIN B12 1000MCG TB 100,Nature's Bounty,866582,18.99,29537013802,4,100 tablets,,2028-02-28,t,6,2,0,11.64,109,t
2068,PEDIALYTE ADVANCE CARE PLUS STRAWBERRY FREEZE6X17G,Pedialyte,153743,17.99,55325002031,0,6x17g,,2026-10-01,t,1,1,0,10.17,109,t
2120,CANESTEN CR EXTERNAL VAGINAL 1% 15G,"",355040,14.99,56500024169,3,15g,"",2027-11-30,t,3,0,0,7.05,127,t
2119,CANESTEN CR EXTERNAL VAGINAL 2% 15G,"",145972,15.99,56500371065,3,15g,"",2028-02-28,t,3,0,0,9.33,127,t
2082,CENTRUM MINIS TB MEN 50+ 160,"",156913,25.99,62107482639,3,160 tabs,"",2027-03-31,f,4,1,0,16.16,114,t
2079,ENFAMIL FERINSOL DRP 50ML,"",112425,22.99,56796510407,0,50ml,"",2027-01-02,t,3,3,0,13.46,142,t
2097,OPTION+ CANE ALUMINUM BLACK ADJUSTABLE,option+,145812,29.99,771290029636,7,1 cane,,,t,11,4,0,14.59,109,t
2125,CHILDREN'S ADVIL BERRY,"",156009,13.99,62107006408,2,100ml,"",2028-05-31,t,4,2,0,0.00,118,t
2147,VIT C EFFERVESCENT TB 10 JAM,Jamieson,19701,7.99,64642067357,11,10 tabs,,2027-08-31,t,13,2,0,4.98,109,t
2129,KINDER BUENO MINI T18 BAG 97G,Kinder,133916,3.99,62020023742,12,97g,,2026-05-08,t,12,0,0,3.43,109,t
1972,RIB BELT FOR WOMEN LARGE,OTC,2658,49.99,48503265885,2,1,,,f,2,0,0,0.00,109,t
2180,OPTION+ FLOSS PICKS COOL MINT 90,Option +,175335,3.99,771290032230,3,90,,,t,3,0,0,2.14,109,t
2158,NEO CITRAN XST COLD NIGHT HONEY & LEMON 10,neocitran,80405,18.99,58478111247,2,10 single dose pouches,,2027-12-31,t,2,0,0,11.14,109,t
2131,XMAS HERSHEY KISSES CANDY CANE 180G,Hershey's,1234,9.99,56600393622,0,180g,,2026-06-01,t,1,1,0,5.53,109,t
2181,OPTION+ FLOSS PICKS 90,option+,175336,3.99,771290032223,4,90,,,t,4,0,0,2.14,109,t
2042,MINOXIDIL FOAM WM 5%W/W 2X60G,Taro,196877,112.99,63691102286,3,2X 60gm,,,t,4,1,0,69.00,109,t
2159,GLUCOSAMINE SULFATE 500MG BNS 300+30,Webber Naturals,78501,28.99,625273038385,3,330 caps,,2029-01-31,t,3,0,0,15.76,109,t
2132,LIFESAVERS 5 FLAVOURS 32G,lifesavers,64900070693,1.49,64900070693,10,32g,,,t,10,0,0,0.96,109,t
2072,OPTION+ SITZ BATH PLASTIC,Option+,188215,24.99,771290033312,4,1,,,t,7,3,0,12.09,109,t
1928,EPSOM SALTS CRYSTALS 2000G ATL,atlas,131749,14.99,68625160639,2,2kg,,2028-10-31,t,2,0,0,9.03,109,t
2134,XMAS KINDER HOLLOW T6 90G,kinder,62020025746,9.99,62020025746,10,90g (6x15g),,,t,10,0,0,5.27,109,t
2135,WERTHERS ROLL  50G,Storck,72799009014,1.49,72799009014,19,50g,,,t,20,1,0,0.90,109,t
2162,ORAJEL COLD SORES 3X MEDICATED GEL 5.3G,orajel,146700,14.99,59972102496,3,5.3g,,2027-08-27,t,3,0,0,7.09,109,t
2163,HUGO CRUTCH TIPS LG 2/PQT,Hugo,116315,7.99,754021210930,5,1 pair,,,f,5,0,0,4.10,109,t
2164,JAMIESON MAGN BISGLYCINATE CAPS 100MG 70,jamieson,195825,23.99,64642101846,1,70 caps,,2027-08-31,t,1,0,0,14.37,109,t
2136,XMAS FERRERO ROCHER T5 62.5G,Ferrero,62020001207,7.99,62020001207,1,62.5g,,,t,1,0,0,3.68,109,t
2137,MCK GLOVES EXAM NITRILE PD-FREE MD 200,McKesson,178667,25.99,612479181649,1,200,,,t,1,0,0,19.04,109,t
2165,OPTION+ CRUTCH TIPS LG,option +,188184,7.99,771290033275,8,1 pair,,,f,8,0,0,3.56,109,t
2138,MCK GLOVES EXAM NITRILE PD-FREE SM 200,Mckesson,178662,25.99,612479181625,6,200,,,t,6,0,0,19.04,109,t
2167,RESTORALAX 7 DOSES 119G,bayer,730341,12.99,56219823077,7,119g,,2027-05-31,t,9,2,0,7.53,109,t
1934,OTC THUMB STABILIZER RIGHT SMALL,OTC,2074,44.99,48503207403,3,1,,,f,2,0,0,30.70,109,t
2156,TRIFEREXX-150 CAPS 150MG 100,can med pharma,86712,72.99,628110528018,4,100 capsules,,2029-02-28,t,4,0,0,42.27,109,t
714,DENTAL FLOSS ORAL B ESSENTIALS FLOSS MINT 50M,Oral-B,865790,2.99,300410825737,1,50m,,,t,2,1,0,1.54,109,t
2142,RICE KRISPIES SQUARES ORIGINAL 62G,Kellog's,64100729698,1.99,64100729698,11,62g,,2026-07-18,t,12,1,0,0.82,109,t
2194,TOOTHPASTE COLGATE TOTAL CLEAN MINT 170ML,Colgate,134683,8.99,58000142169,5,170ml,,2027-08-31,t,5,0,0,5.45,109,t
2195,TOOTHPASTE COLGATE TOTAL CLEAN MINT 120ML,colgate,134675,6.99,58000142091,4,120ml,,2027-09-30,t,4,0,0,4.22,109,t
2196,TOOTHPASTE COLGATE TOTAL WHITENING 120ML,colgate,134677,6.99,58000142107,6,120ml,,2027-10-31,t,6,0,0,4.22,109,t
2198,TOOTHPASTE COLGATE MAXFRESH CLEAN MINT 150ML,Colgate,134415,6.99,58000142343,2,150ml,,2027-06-30,t,2,0,0,4.22,109,t
2199,COLGATE TOOTHPASTE SENSITIVE PRO RELIEF WHT 120ML,Colgate,15940,10.99,58000310063,2,120ml,,2027-07-31,t,2,0,0,6.50,109,t
2200,CREST PRO-HEALTH TOOTHPASTE CLEAN MNT 130ML,Crest,109562,6.99,56100079330,3,130ml,,2028-07-31,t,3,0,0,4.10,109,t
2000,MKO ARTHRITIS GLOVES WITH GRIP XL,MKO,LM7760,29.99,738435173111,2,1,,,t,2,0,0,0.00,109,t
584,X-PUR XYLITOL MINTS MINT 130,X-Pur,30223,11.99,663635000298,3,130 ct,,,t,4,1,0,7.13,109,t
53,KNEEDIT KNEE RELIEF SUPPORT,KneedIT,,54.99,48503242206,1,1 support,,,t,1,0,0,0.00,109,t
79,TRUFORM OPAQUE PANTYHOSE 20-30 - LARGE/BEIGE,Truform,0365BG-L,109.99,48503036553,1,1 unit,"20-30
Large
Beige",,t,1,0,0,0.00,109,t
556,GUM SOFT-PICKS 80,GUM,17932,6.99,70942304467,1,80 ct,,,t,1,0,0,4.09,109,t
555,PLACKERS FLOSSERS DENTAL MICRO MINT 75,Plackers,151923,4.99,651080196048,0,75 ct,,,t,0,0,0,2.55,109,t
557,STIMUDENT CLEANSER MINT 4X25,The Natural Dentist,154021,3.99,334362000133,0,100 ct,,,t,0,0,0,2.24,109,t
558,GUM DENTALFLOSS EEZ-THRU THREADER 25,GUM,447755,3.99,70942098403,0,25 ct,,,t,0,0,0,2.36,109,t
559,CONVATEC ORABASE - ORAL PROTECTIVE PASTE,Convatec,56564,18.99,456781567803,0,7.5 g,,,t,0,0,0,0.00,109,t
563,AQUAFRESH CAVITY PROTECTION FRESH MINT 90ML,AquaFresh,19645,3.99,60815035529,0,90ml,,,t,0,0,0,2.58,109,t
564,AQUAFRESH TOOTHPASTE EXTREME CLEAN POWERWHITE 90ML,AquaFresh,2926,3.99,60815034881,0,90ml,,,t,0,0,0,2.58,109,t
568,FIXODENT PD EXTRA HOLD 77G,Fixodent,468033,10.99,56100007807,0,62 ml X 2,,,t,0,0,0,6.25,109,t
567,TOOTHPASTE PREVIDENT BOOST GEL 1.1% SPEARMINT100ML,Colgate,166389,16.99,38341105955,1,100ml,,,t,1,0,0,10.12,109,t
560,DENTAL FLOSS ORAL B SUPERFLOSS MINT 50,Oral-B,108944,5.99,300410825706,4,50 ct,,,t,5,1,0,3.49,109,t
565,TOOTHPASTE COLGATE TOTAL WHITENING 170ML,Colgate,134880,7.99,58000142176,4,170ml,,,t,4,0,0,5.45,109,t
2070,DR SCHOLL MOLESKIN PADDING 2,"",164000,6.99,888853002170,2,2 sheets,"",,t,2,0,0,3.70,126,t
2197,TOOTHPASTE COLGATE TOTAL CLEAN MINT 70ML,colgate,134715,3.99,58000142411,6,70ml,,2027-03-31,t,7,1,0,2.07,109,t
2161,FLINTSTONES MULTI VITAMIN PLUS IRON 60,bayer,280354,15.99,56500356208,3,60 tabs,,2027-05-31,t,3,0,0,9.03,109,t
2065,OPTION+ GLOVES COTTON MD,Option +,187202,2.99,771290032940,22,1 pair,,,t,23,1,0,1.62,109,t
554,GUM PROXABRUSH REFILL WIDE 10,GUM,17946,6.99,70942305143,9,10 ct,,,t,9,0,0,3.81,109,t
571,TOOTHPASTE SENSODYNE RAPID RELIEF 75ML,Sensodyne ,132227,10.99,60815052854,0,75 ml, ,,t,0,0,0,7.17,109,t
572,CREST PRO-H GUM DETOXIFY T/P DEEP CLEAN 90ML,Crest,177723,9.99,30772062067,0,90 ml,,,t,0,0,0,6.46,109,t
578,LISTERINE GREEN TEA ZERO 1L,Listerine,145856,13.99,62600349828,0,1L,,,t,0,0,0,7.88,109,t
582,POLIDENT OVERNIGHT TB 40,Polident,511200,8.99,69682040193,1,40 ct,,2028-02-29,t,1,0,0,5.18,109,t
585,X-PUR XYLITOL FRUIT MINTS 130,X-Pur,30229,11.99,663635000304,0,130 ct,,,t,0,0,0,7.13,109,t
579,OPTI-RINSE ORAL RINSE 0.05% GRAPE 500ML,Opti-Rinse,151486,15.99,663635001226,7,500 ml,,2028-03-31,t,8,1,0,9.00,109,t
581,ORAJEL MOUTHWASH ANTISEPTIC SOOTHING MINT 473ML,Orajel,178276,18.99,59972102557,2,473 ml, ,2026-08-31,t,3,1,0,11.28,109,t
576,LISTERINE TOTAL CARE ZERO 1L,Listerine,6609,14.99,62600959768,2,1L,,2026-12-31,t,4,2,0,8.98,109,t
574,BIOTENE MOUTH WASH 473ML,Biotene,13153,16.99,60815062013,7,473 ml,,2027-09-30,t,7,0,0,9.93,109,t
586,XYLIMELTS TROCHES DRY MOUTH MINT 40,Oracoat,151485,20.99,855933000715,2,40 ct, ,2026-06-30,t,3,1,0,12.76,109,t
575,BIOTENE MOISTURIZING MOUTH SPRAY 44ML,Biotene,44858,16.99,60815063461,4,44 ml,,2027-06-30,t,5,1,0,9.93,109,t
580,OPTI-RINSE ORAL RINSE 0.2% MINT 500ML,Opti-Rinse,163723,16.99,663635001233,4,500 ml,,2028-02-28,t,7,3,0,10.51,109,t
577,LISTERINE ZERO 1L,Listerine,420,13.99,62600953957,4,1L,,2027-01-31,t,5,1,0,7.88,109,t
698,DERMTEK PHARMA INC DILUSOL,Dermtek Pharma Inc,139907,16.99,256700005900,0,45mL,,,t,0,0,0,0.00,109,t
717,BIOTENE ORAL BALANCE GEL 42G,Biotene,13160,16.99,60815062037,3,34mL,,2026-03-31,t,3,0,0,9.93,109,t
764,VITAMIN E OIL PUR 28000IU 28ML,Holista,599209,13.99,620554002451,0,28mL,,,t,0,0,0,9.33,109,t
827,CREST TOOTHPASTE TARTAR PROTECTION 100ML,Crest,151824,2.99,56100082194,11,100mL,,2027-06-30,t,13,2,0,1.38,109,t
888,CREST P-H GUM DETOXIFY T/P GENTLE WHITENING 110ML,Crest,156530,10.99,56100083177,1,110mL,,,t,18,17,0,6.46,109,t
947,TRUFORM AIRWAY - COMPRESSION ARM SLEEVE - MEDIUM - BLACK,Truform,3325BL-M,84.99,48503832537,0,1 arm sleeve,Size: Medium,,t,0,0,0,0.00,109,t
1365,LISTERINE FRESH BURST 1L,Listerine,576033,12.99,63793707501,2,1L,,2027-03-31,t,2,0,0,7.88,109,t
1381,TOOTHBRUSH REACH CRYSTAL CLEAN SOFT,Reach,56514,2.99,840040174268,3,1 toothbrush,,,t,3,0,0,1.27,109,t
1393,CREST 3D ORAL-B GLIDE COMFORT FLOSS 2X40 M PACK,Oral B,178730,9.99,30772080900,3,2 UNITS,This is a sample product description.,,t,3,0,0,6.19,109,t
1390,POLIDENT DAILY CARE 96,Polident,494518,15.99,69682166008,2,96 units,,,t,4,2,0,9.57,109,t
1397,TOOTHPASTE SENSODYNE PRONAMEL FRESH WAVE 110ML,Sensodyne,80697,10.99,60815031309,0,110mL,,,t,0,0,0,6.49,109,t
1396,TOOTHPASTE SENSODYNE PRONAMEL WHITENING 110ML,Sensodyne,79897,10.99,60815031347,6,110mL,,,t,7,1,0,6.49,109,t
1453,POLIDENT PASTE 90ML,Polident,656116,8.99,60815040219,2,90ml,,2026-12-31,t,2,0,0,5.52,109,t
1455,ORABASE PASTE 7.5G,Convatec,56564,18.90,768455108763,0,7.5g,,,t,0,0,0,12.17,109,t
1500,VASELINE LIP THERAPY KISSING RED 3.4G,Vaseline,173334,9.99,8886467037344,0,1 stick,,,t,0,0,0,5.94,109,t
1454,GUM PRO-WEAVE DENTAL FLOSS WAXED 165M,GUM,167879,4.99,70942004978,2,165m,,,t,5,3,0,3.00,109,t
1499,BLISTEX LIP MEDEX STICK 4.25G,Blistex,304071,4.99,41388850191,0,1 sticks,,,t,0,0,0,2.69,109,t
1619,CREST TOOTHPASTE TARTAR PROTECTION 125ML,Crest,151831,3.99,56100082224,0,125ml,Crest Toothpaste Fresh Mint,,t,0,0,0,2.02,109,t
1622,COLG OPTIC WHITE T/P ADVANCE SPARKLING WHITE 133ML,Colgate,146724,6.99,35000972590,0,133ml,Colgate Optic White Advanced Sparkling White,,t,0,0,0,6.74,109,t
1621,CREST TOOTHPASTE SCOPE WHITENING 120ML,Crest,157022,6.99,56100082958,3,120ml,Crest Scope Toothpaste Mint Fresh,2027-09-30,t,3,0,0,4.08,109,t
1620,CREST CMLT+ SCOPE T/P COOL PEPPERMINT 120ML,Crest,156560,6.99,56100082910,3,120ml,Crest Scope Whitening Cool Peppermint,2027-05-30,t,4,1,0,4.08,109,t
1618,GUM FLOSSERS PROFESSIONAL CLEAN + 150,Gum,135790,7.99,70942001465,7,150,Flosser Picks,,t,10,3,0,4.68,109,t
1689,"TRUFORM FIRM, BELOW THE KNEE, OPEN TOE STOCKINGS",Truform,0865-L,54.99,48503086558,0,1 pair,,,t,0,0,0,0.00,109,t
1678,DENTAL FLOSS GUM BUTLERWEAVE WAX 21.8M,GUM,80838,2.99,70942302159,2,2,,,t,2,0,0,1.29,109,t
1725,GUM TOOTHBRUSH KIDS 2+ MONSTERZ,GUM,104516,2.99,70942001625,3,1,,,t,5,2,0,1.28,109,t
1813,"OTC 8'''' WRIST BRACE, RIGHT, SMALL",OTC,2083,44.99,48503208325,3,1,,,t,3,0,0,0.00,109,t
1815,LEGLINE 15-20 PANTYHOSE MEDIUM,Venosan,VL234BG,59.99,613215001504,0,1,,,t,0,0,0,0.00,109,t
1869,TRUFORM UNISEX DIABETIC SOCKS MILD COMPRESSION WHITE LARGE,Truform,1912WH-L,24.99,48503491253,2,1 pair,,,t,2,0,0,0.00,109,t
1871,OTC THERATEX LUMBOSACRAL SUPPORT 3L,Pro Orthopaedic Select Series,2882,79.99,48503288280,1,1 support,,,t,1,0,0,0.00,109,t
1870,SENSODYNE SENSITIVE CARE TOOTHBRUSH SOFT 2PK,Sensodyne,176539,11.99,60815402116,4,2 pack,,,t,5,1,0,7.17,109,t
1872,OTC THERATEX LUMBOSACRAL SUPPORT 2L,Pro Orthopaedic Select Series,2882,79.99,48503288273,1,1 support,,,t,1,0,0,0.00,109,t
1846,DEX-4 GLUCOSE TAB ORANGE 10,"",505735,4.99,57565949473,0,10 tablets,"",,t,0,0,0,3.02,116,t
573,CREST P-H GUM DETOXIFY T/P DEEP CLEAN 110ML,"",156568,10.99,56100083191,11,110 ml,"",2028-03-31,t,15,4,0,6.46,109,t
1726,TOOTHBRUSH ORAL B CAVITY DEFENCE MED #40,Oral-B,55532,2.99,68305688569,14,1,,,t,28,14,0,1.42,109,t
1580,GUM PROXABRUSH REFILL NARROW 10,GUM,17946,6.99,70942305136,4,10 pick,,,t,6,2,0,3.81,109,t
715,FIXODENT CONTROL 57G,"",875245,10.99,56100017714,4,57g,"",2027-10-31,t,6,2,0,6.61,109,t
1874,GUM TECHNIQUE DEEP SENS CARE TOOTHBRUSH ULT SOFT,GUM,777,4.99,70942125925,1,1 toothbrush,,,t,1,0,0,2.79,109,t
1889,POLIGRIP STRONG HOLD 40G,GSK,51034,7.99,60815042930,2,40g,,2027-12-31,t,2,0,0,4.82,109,t
1888,PCP SCULPTED ORTHOPEDIC SEAT CUSHION WITH REMOVABLE COCCYX PAD,PCP,6239-BL,49.99,48503623906,3,1 cushion,,,t,6,3,0,0.00,109,t
1878,LISTERINE POCKET MIST TWIN PK COOL MINT 2,listerine,63032,10.99,12547339024,8,2x 140,,,t,9,1,0,6.96,109,t
1723,TOOTHBRUSH REACH CRYSTAL CLEAN FIRM,,56506,2.99,840040171076,11,1,,,t,12,1,0,1.27,109,t
1727,OPTION+ TOOTHBRUSH SOFT CARE,,175343,2.99,771290032261,0,1,,,t,0,0,0,1.63,109,t
1847,TOOTHPASTE SENSODYNE PRONAMEL MINT ESSENCE 75ML,,38230,8.99,60815030197,0,75 mL,,,t,0,0,0,5.46,109,t
716,HALEON SENSODYNE - WHITENING,,17612,2.99,60815030425,0,18mL,,,t,0,0,0,0.00,109,t
1387,ORAL-B GLIDE FLOSS DEEP CLEAN COOL MINT 3,,186451,14.99,56100079071,0,3 units,,,t,0,0,0,8.65,109,t
569,SENSODYNE TOOTHPASTE SENSIT&GUM PROACTIVE PROT75ML,,167679,11.99,60815307763,0,75 ml,,,t,0,0,0,7.17,109,t
1415,SENSODYNE BRILLANT WHITENING 135ML,,167680,10.99,60815331249,0,135ml,,,t,0,0,0,6.49,109,t
718,TOOTHBRUSH COLGATE #2 PLUS TWISTER SOFT 42MM,,624478,4.99,58000003323,0,1 toothbrush,,,t,0,0,0,2.26,109,t
570,TOOTHPASTE SENSODYNE PRONAMEL WHITENING 75ML,,824102,9.99,60815030340,0,75 ml,,,t,0,0,0,5.46,109,t
2108,REDOXON 1000MG ORANGE TB 15,Bayer,62713,7.99,56500364715,5,15 tabs,,2027-03-31,t,6,1,0,4.50,109,t
2146,OPTION+ MAGNESIUM BISGLYCINATE CAPS 200MG 60,Option+,190889,11.99,771290036832,2,60 caps,,2030-08-30,t,4,2,0,6.91,109,t
583,POLIDENT OVERNIGHT 96,Polident,278218,15.99,69682165001,12,96 ct,,2028-12-31,t,20,8,0,9.57,109,t
562,ORAJEL GEL XST 9.5G,,150238,9.99,59972071303,0,9.5 g,,,t,5,6,0,5.53,109,t
1982,GILLETTE SERIES SHAVE GEL SENSITIVE 198G,gillette,198465,6.99,47400130708,1,198g,,,t,1,0,0,4.05,110,t
588,GILLETTE SERIES SHAVING GEL SENS SKIN TSZ 71G,Gilllette,182182,4.99,47400130920,1,70g,,,t,2,1,0,1.84,110,t
589,GILLETTE SATIN CARE SHAVE GEL DRY SKIN 198G,Gilllette,196014,6.99,47400141506,1,198g,,,t,1,0,0,3.89,110,t
593,NIVEA FOR MEN BALM AFTER SHAVE SENSITIVE 100ML,Nivea Men,117713,11.99,72140813062,0,100mL,,,t,0,0,0,6.93,110,t
594,NIVEA FOR MEN BALM AFTER SHAVE REPLENISHING 100ML,Nivea,95667,11.99,72140813000,0,100g, ,,t,0,0,0,6.93,110,t
587,GILLETTE SERIES SHAVE GEL MOISTURIZING 198G,Gilllette,197962,6.99,47400130715,4,75g,,,t,10,8,0,4.05,110,t
725,NIVEA MEN PROTECT&CARE SHAVING GEL 198G,NIVEA MEN,115704,6.99,72140817602,0,200mL,,,t,0,0,0,4.85,110,t
728,GILLETTE FUSION SHAVE GEL ULTRA SENSITIVE 198G,Gillette,891168,7.99,47400159051,0,198g,,,t,0,0,0,4.94,110,t
726,NIVEA MEN DEEP SHAVING FOAM 200ML,Nivea Men,133825,5.99,56594013209,2,200mL,,,t,2,0,0,3.70,110,t
730,BIO OIL SKINCARE OIL NATURAL 200ML,,155096,39.99,6001159124092,0,200mL,,,t,0,0,0,25.60,111,t
2058,NIVEA LOT OIL INF VANILLA & ALMOND 500ML,nivea,199736,15.99,56594013261,1,500ml,,,t,1,0,0,9.38,111,t
1956,SUDOCREM 125G,Sudocrem,297366,10.99,624721510053,1,125g,,2027-09-30,t,1,0,0,6.40,111,t
1946,EUCERIN AQUAPHOR SKIN PROT OINTMENT 50G,Eucerin,199748,11.99,56594001442,2,50g,,,t,2,0,0,8.53,111,t
2201,CERAVE LOT FACIAL AM MOISTURIZING SPF30 89ML,,2527898,25.99,3606000603400,2,89mL,,2027-11-30,t,2,0,0,15.46,111,t
1965,GOLD BOND ULTIMATE ECZEMA RELIEF CR 225ML,goldbond,76535,17.99,57990059235,1,225mL,,2027-04-30,t,1,0,0,10.92,111,t
1654,GARNIER OMBRELLE COMPLETE LOT SPF30 TUBE 200ML,Garnier,166471,37.99,603084569441,2,200 ml,,2026-08-30,t,3,1,0,22.77,111,t
1900,BENZAGEL WASH 5% 85ML,Benzagel,773689,9.99,851722000744,1,85ml,,2027-03-31,t,1,0,0,6.33,111,t
1177,CERAVE LOT RENEWING SA 237ML,CeraVe,147377,22.99,3606000537248,5,237mL,,,t,13,8,0,14.11,111,t
1901,CERAVE CLEANSER SA 237ML,CeraVe,133540,20.99,3606000532076,6,237ml,,,t,6,0,0,12.76,111,t
2157,CETAPHIL DAILY FACIAL MOISTURIZER SPF15 120ML,Cetaphil,607549,16.99,772618081206,3,120ml,,2028-07-28,t,3,0,0,9.75,111,t
