Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,,,,product_id,name,brand,item_number,price,barcode,quantity_in_stock,unit_size,description,expiry_date,taxable,stock_bought,stock_sold,stock_expired,price_per_unit,category_id
2080,TOOTHBRUSH ORAL B CAVITY DEFENSE SOFT #40,Oral B,51232,2.99,68305688576,10,1,,,t,12,2,0,1.42,109,,,66000020943,396,HEALTH ONE COLD AND FLU IN 1,Health One,0,11.99,66000020943,27,30 ct, ,46843,t,31,4,0,0,133
1958,SCOTTIES KLEENEX,Scotties,,0.69,61328869113,99,1,Facial Tissues Pocket size,,t,100,1,0,0.4,109,,,58478473659,1679,NEO CITRAN ULTRA STRENGHT FLU LEMON 10,Neocitran,48265,16.99,58478473659,4,10,0,46446,t,11,7,0,11.14,118
2085,MCK GLOVES EXAM NITRILE PD-FREE MD 100,McKesson,177541,17.99,628286000530,3,100 gloves,,2029-12-31,t,5,2,0,10.47,109,,,62600918468,2182,TYLENOL SUSP LIQ CHILD BERRY 2X100ML,tylenol,79950,21.99,62600918468,1,2x100ml,0,46630,t,1,0,0,12.89,117
2119,CANESTEN CR EXTERNAL VAGINAL 2% 15G,Canesten,145972,15.99,56500371065,3,15g,,2028-02-28,t,3,0,0,9.33,109,,,62600142351,793,TYLENOL XST EZ TB 500MG 50,Tylenol,771592,12.99,62600142351,9,50eztabs,0,46599,t,15,6,0,7.76,118
2097,OPTION+ CANE ALUMINUM BLACK ADJUSTABLE,option+,145812,29.99,771290029636,5,1 cane,,,t,7,2,0,14.59,109,,,62600142641,386,TYLENOL RG EASY TO OPEN CPLT 200,Tylenol,667865,28.99,62600142641,4,200 ct, ,46112,t,4,0,0,17.39,118
2145,MCK GLOVES EXAM VINYL PD-FREE MD 100,Mckesson,181088,17.99,612479102217,2,100,,,t,2,0,0,7.48,109,,,36602833685,1590,RICOLA LOZ LEMON MINT NSA BAG 19,Ricola,190954,4.99,36602833685,0,19 lozenges,0,0,t,0,0,0,10.31,131
2086,OPTION+ PILL PLANNER 4XDAILY,option+,167420,11.99,771290032063,4,1 planner,,,t,4,0,0,6.68,109,,,57990063645,1710,DULCOLAX TB SOFTCHEW 1200MG 30,Dulcolax,168771,16.99,57990063645,2,30 soft chews,0,46326,t,2,0,0,10.45,130
2120,CANESTEN CR EXTERNAL VAGINAL 1% 15G,canesten,355040,14.99,56500024169,3,15g,,2027-11-30,t,3,0,0,7.05,109,,,58738666449,1899,OVOL ULTRA STRENGTH SOFTGEL 180MG 32,OVOL,34496,12.99,58738666449,4,32 capsules,0,46721,t,4,0,0,7.65,144
2146,OPTION+ MAGNESIUM BISGLYCINATE CAPS 200MG 60,Option+,190889,11.99,771290036832,3,60 caps,,2030-08-30,t,4,1,0,6.91,109,,,66000021094,403,HEALTH ONE VITAMIN D3 1000IU,Health One,5,9.99,66000021094,40,180tabs,0,46752,t,85,44,0,0,133
2112,TYLENOL COLD XST TB DAY/NIGHT 10+10,tylenol,81950,12.99,64541317379,1,20 eztabs,,2027-04-30,t,1,0,0,7.61,109,,,56594013261,2058,NIVEA LOT OIL INF VANILLA & ALMOND 500ML,nivea,199736,15.99,56594013261,1,500ml,0,0,t,1,0,0,9.38,111
2106,TOOTHPASTE SENSODYNE MULTI-ACTION CLEAN MINT 100ML,Sensodyne,33025,8.99,60815039176,2,100mL,,2028-03-31,t,4,2,0,5.46,109,,,60815042930,1889,POLIGRIP STRONG HOLD 40G,GSK,51034,7.99,60815042930,2,40g,0,46752,t,2,0,0,4.82,109
2081,IBGARD CAPS 90MG 12,Nature's Bounty,102714,16.99,628063000029,4,12 caps,,2026-12-31,t,4,0,0,9.51,109,,,,,,,,,,,,,,,,,,,
1960,TUMS FRUIT ROLL EXTRA STRENGTH,Tums,,1.29,6892330,7,12,Tums XS fruit roll,,t,8,1,0,0.7,109,,,,,,,,,,,,,,,,,,,
2113,TYLENOL COLD XST TB DAY/NIGHT 24+16,tylenol,81984,19.99,64541317386,2,40 eztabs,,2027-01-31,t,2,0,0,11.53,109,,,,,,,,,,,,,,,,,,,
2087,AIRSELECT SHORT BOOT LARGE,Aircast,01ES-L,174.99,TJ01164250904,4,1,,,t,4,0,0,0,109,,,,,,,,,,,,,,,,,,,
2099,ESTROVEN STRESS MOOD MEMORY CAPS 30,Estroven,189029,39.99,92961040287,1,30 caps,,2027-03-31,t,1,0,0,24.05,109,,,,,,,,,,,,,,,,,,,
2147,VIT C EFFERVESCENT TB 10 JAM,Jamieson,19701,7.99,64642067357,12,10 tabs,,2027-08-31,t,13,1,0,4.98,109,,,,,,,,,,,,,,,,,,,
2121,DRIXORAL NO DRIP ORIGINAL 15ML,drixoral,456038,8.99,56219836329,1,15ml,,2026-12-31,t,1,0,0,5.13,109,,,,,,,,,,,,,,,,,,,
2107,TOOTHPASTE SENSODYNE WHITENING&ANTI TARTAR 100ML,Sensodyne,17605,8.99,69682254002,2,100mL,,2028-03-31,t,9,7,0,5.46,109,,,,,,,,,,,,,,,,,,,
2082,CENTRUM MINIS TB MEN 50+ 160,Centrum,156913,25.99,62107482639,3,160 tabs,,2027-03-31,f,4,1,0,16.16,109,,,,,,,,,,,,,,,,,,,
2122,DRIXORAL NO DRIP W/MENTHOL 15ML,drixoral,498303,8.99,56219834226,1,15ml,,2027-02-28,t,1,0,0,5.13,109,,,,,,,,,,,,,,,,,,,
2061,SPLENDA MINI TB 200,Splenda,96286,8.99,722776000120,5,200 tabs,,2028-01-07,t,5,0,0,5.82,109,,,,,,,,,,,,,,,,,,,
2148,OPTION+ BABY WIPES UNSCENTED 56,Option+,198183,3.99,771290038157,2,56 wipes,,,t,3,1,0,1.94,109,,,,,,,,,,,,,,,,,,,
2088,AIRSELECT SHORT BOOT MEDIUM,Aircast,01ES-M,174.99,TJ00057250820,6,1,,,t,6,0,0,0,109,,,,,,,,,,,,,,,,,,,
2100,ESTROVEN WEIGHT MANAGEMENT CAPS 30,Estroven,97500,39.99,92961040270,1,30 caps,,2026-05-31,t,1,0,0,24.05,109,,,,,,,,,,,,,,,,,,,
2108,REDOXON 1000MG ORANGE TB 15,Bayer,62713,7.99,56500364715,6,15 tabs,,2027-03-31,t,6,0,0,4.5,109,,,,,,,,,,,,,,,,,,,
2114,BUCKLEY'S MIXTURE COUGH AND CONGESTION 100ML,Buckley's,7377,14.99,65515000037,1,100ml,,2026-10-31,t,1,0,0,7.6,109,,,,,,,,,,,,,,,,,,,
2062,SPLENDA SWEETENER NO CALORIE 400G,Splenda,160923,27.99,722776200230,7,400 packets,,2028-01-07,t,7,0,0,16.58,109,,,,,,,,,,,,,,,,,,,
2149,BRONCHOPHAN EXP SUGAR/ALCOHOL FREE 250ML ATL,Laboratoire Atlas,37085,13.99,68625179914,10,250ml,,2029-02-28,t,10,0,0,7.69,109,,,,,,,,,,,,,,,,,,,
2123,OMEGA COMPLETE SUPER KRILL 500MG SOFTGEL 100 JAM,jamieson,80922,55.99,64642078445,6,100 softgels,,2027-05-31,t,6,0,0,35.36,109,,,,,,,,,,,,,,,,,,,
2101,ESTROVEN MAX STRENGHT & ENERGY TB 28,Estroven,97481,39.99,92961040256,1,28 caps,,2026-08-31,t,1,0,0,24.05,109,,,,,,,,,,,,,,,,,,,
2115,NATURE'S BOUNTY VITAMIN B12 1000MCG TB 100,Nature's Bounty,866582,18.99,29537013802,5,100 tablets,,2028-02-28,t,6,1,0,11.64,109,,,,,,,,,,,,,,,,,,,
2150,B12 FAST DISSOLVING TB 2500MCG TRIAL SIZE 10 JAM,Jamieson,139361,7.99,64642091888,2,10 sublingual tablets,,2029-01-31,t,2,0,0,4.65,109,,,,,,,,,,,,,,,,,,,
2116,SENOKOT S NATURAL LAXATIVE + STOOL SOFTENER TB 10,Senokot,196278,5.99,9314057021286,0,10 tabs,,2026-12-31,t,1,0,0,2.83,109,,,,,,,,,,,,,,,,,,,
2124,OMEGA 3 SELECT SOFTGEL 150+50 JAM,jamieson,996058,39.99,64642062321,2,200 so,,2029-07-31,t,5,3,0,22.93,109,,,,,,,,,,,,,,,,,,,
2151,HYDRALYTE EFFERVESCENT ELECTROLYTE LEM LIME TB 20,hydralyte,178834,15.99,9326173003046,3,20 tabs,,2027-10-31,t,3,0,0,9.51,109,,,,,,,,,,,,,,,,,,,
2102,ALEVE CPLT 220MG 24,Aleve,,9.99,56500359889,2,24,,,t,4,2,0,5.25,109,,,,,,,,,,,,,,,,,,,
2125,CHILDREN'S ADVIL BERRY,Advil,156009,13.99,62107006408,3,100ml,,2028-05-31,t,4,1,0,0,109,,,,,,,,,,,,,,,,,,,
2064,HEMEBOOST FORTE HEME IRON TB 34.8MG 30,Pharmaris,196879,49.99,55668050294,1,30 tabs,,2027-07-31,t,3,2,0,31.95,109,,,,,,,,,,,,,,,,,,,
714,DENTAL FLOSS ORAL B ESSENTIALS FLOSS MINT 50M,Oral-B,865790,2.99,300410825737,2,50m,,,t,2,0,0,1.54,109,,,,,,,,,,,,,,,,,,,
2092,PHA PILL BX WKLY REM DY,PharmaSystems,590281,17.99,63636004170,5,1,,,t,5,1,0,8.8,109,,,,,,,,,,,,,,,,,,,
2126,ADVIL CHILD SUSP FRUIT 100ML,Advil,164479,13.99,62107004480,1,100ml,,2028-05-31,t,2,1,0,8.26,109,,,,,,,,,,,,,,,,,,,
2065,OPTION+ GLOVES COTTON MD,Option +,187202,2.99,771290032940,15,1 pair,,,t,15,0,0,1.62,109,,,,,,,,,,,,,,,,,,,
2103,ALEVE LIQ GEL 220MG 20,Aleve,,11.99,56500362629,0,20,,,t,2,2,0,6.27,109,,,,,,,,,,,,,,,,,,,
2152,ORAJEL SEVERE TRIPLE MEDICATED GEL 7G,orajel,118936,11.99,59972102267,6,2,,2027-08-31,t,8,2,0,7.09,109,,,,,,,,,,,,,,,,,,,
2153,HYDRALYTE EFFERVESCENT STRAWBERRY LEMONADE TB 20,hydralyte,170864,15.99,9326173002797,4,20 tabs,,2027-04-30,t,4,0,0,9.51,109,,,,,,,,,,,,,,,,,,,
2127,VITAMIN C TIME RELEASE CPLT 1000MG 100 JAM,Jamieson,685602,28.99,64642021250,0,100 caplets,,2029-05-31,t,2,2,0,16.03,109,,,,,,,,,,,,,,,,,,,
2066,VICKS NYQUIL COLD&FLU BERRY 650MG/30ML 354ML,Vicks,168693,23.99,56100076872,2,354ml,,2027-05-31,t,6,4,0,14.14,109,,,,,,,,,,,,,,,,,,,
2036,FORM GLV COTT MD 2,Formedica,973453,3.99,775604060568,5,2,,,t,7,2,0,2.42,109,,,,,,,,,,,,,,,,,,,
2093,OPTION+ PILL&VIT WKLY PLANNER XL,Option+,106611,1.99,771290024037,4,1,,,t,5,1,0,1.14,109,,,,,,,,,,,,,,,,,,,
2128,ZINC CITRATE TB 50MG WEB 180,Webber Naturals,502666,11.99,625273050530,2,180 tabs,,2030-03-31,t,3,1,0,6.76,109,,,,,,,,,,,,,,,,,,,
2067,PEDIFIX TOE CUSHION         2,PediFix,72187,8.99,92437145249,1,1 pair,,,t,2,1,0,4.59,109,,,,,,,,,,,,,,,,,,,
2094,PHA PILL BX REM 7DY XLG,PharmaSystems,267773,1.99,63636275341,2,1,,,t,2,0,0,1.8,109,,,,,,,,,,,,,,,,,,,
2154,BLINK DROPS HYDRATING EYES 15ML,Bausch + Lomb,508291,14.99,824775936261,0,15ml,,2028-10-02,f,1,1,0,8.57,109,,,,,,,,,,,,,,,,,,,
2068,PEDIALYTE ADVANCE CARE PLUS STRAWBERRY FREEZE6X17G,Pedialyte,153743,17.99,55325002031,1,6x17g,,2026-10-01,t,1,0,0,10.17,109,,,,,,,,,,,,,,,,,,,
2155,BENYLIN SYR COUGH&CONGESTION W/WARMING 250ML,benylin,626655,19.99,62600945037,1,250ml,,2027-03-31,t,3,2,0,11.53,109,,,,,,,,,,,,,,,,,,,
2095,MCK GLOVES EXAM NITRILE PD-FREE LG 200,McKesson,178668,25.99,612479181663,5,200,,,t,5,0,0,19.04,109,,,,,,,,,,,,,,,,,,,
2069,WEBBER NATURALS VITAMIN K2 VEGETARIAN CAPS 75,Webber Natural,186240,16.99,625273039306,1,75 caps,,2029-04-30,t,1,0,0,9.84,109,,,,,,,,,,,,,,,,,,,
2156,TRIFEREXX-150 CAPS 150MG 100,can med pharma,86712,72.99,628110528018,1,100 capsules,,2029-02-28,t,1,0,0,42.27,109,,,,,,,,,,,,,,,,,,,
2129,KINDER BUENO MINI T18 BAG 97G,Kinder,133916,3.99,62020023742,12,97g,,2026-05-08,t,12,0,0,3.43,109,,,,,,,,,,,,,,,,,,,
1972,RIB BELT FOR WOMEN LARGE,OTC,2658,49.99,48503265885,2,1,,,f,2,0,0,0,109,,,,,,,,,,,,,,,,,,,
2070,DR SCHOLL MOLESKIN PADDING 2,Dr. Scholl's,164000,6.99,888853002170,2,2 sheets,,,t,2,0,0,3.7,109,,,,,,,,,,,,,,,,,,,
2130,XMAS REESE CANDY CANE PIECE 39.6G,Hershey,56600393165,2.99,56600393165,0,39g,,2026-09-01,t,1,1,0,1.7,109,,,,,,,,,,,,,,,,,,,
2180,OPTION+ FLOSS PICKS COOL MINT 90,Option +,175335,3.99,771290032230,3,90,,,t,3,0,0,2.14,109,,,,,,,,,,,,,,,,,,,
2071,CADBURY DAIRY MILK MINI EGGS BAR 38G,Cadbury,,1.99,61200018479,0,1 bar,,2026-01-09,t,1,1,0,1.43,109,,,,,,,,,,,,,,,,,,,
2158,NEO CITRAN XST COLD NIGHT HONEY & LEMON 10,neocitran,80405,18.99,58478111247,2,10 single dose pouches,,2027-12-31,t,2,0,0,11.14,109,,,,,,,,,,,,,,,,,,,
2131,XMAS HERSHEY KISSES CANDY CANE 180G,Hershey's,1234,9.99,56600393622,0,180g,,2026-06-01,t,1,1,0,5.53,109,,,,,,,,,,,,,,,,,,,
2181,OPTION+ FLOSS PICKS 90,option+,175336,3.99,771290032223,4,90,,,t,4,0,0,2.14,109,,,,,,,,,,,,,,,,,,,
2042,MINOXIDIL FOAM WM 5%W/W 2X60G,Taro,196877,112.99,63691102286,3,2X 60gm,,,t,4,1,0,69,109,,,,,,,,,,,,,,,,,,,
2159,GLUCOSAMINE SULFATE 500MG BNS 300+30,Webber Naturals,78501,28.99,625273038385,3,330 caps,,2029-01-31,t,3,0,0,15.76,109,,,,,,,,,,,,,,,,,,,
2132,LIFESAVERS 5 FLAVOURS 32G,lifesavers,64900070693,1.49,64900070693,10,32g,,,t,10,0,0,0.96,109,,,,,,,,,,,,,,,,,,,
2072,OPTION+ SITZ BATH PLASTIC,Option+,188215,24.99,771290033312,4,1,,,t,7,3,0,12.09,109,,,,,,,,,,,,,,,,,,,
1928,EPSOM SALTS CRYSTALS 2000G ATL,atlas,131749,14.99,68625160639,2,2kg,,2028-10-31,t,2,0,0,9.03,109,,,,,,,,,,,,,,,,,,,
2160,HEALTH ONE EXTRA STRENGTH ALLERGY RELIEF CETIRIZINE 10MG,health one,57606502292,9.99,57606502292,3,12 tabs,,2027-11-30,t,5,2,0,0,109,,,,,,,,,,,,,,,,,,,
2133,BAR REG STARBURST ORIGINAL 58G,Starburst,58496829513,1.99,58496829513,11,58g,,,t,10,0,0,1.39,109,,,,,,,,,,,,,,,,,,,
2161,FLINTSTONES MULTI VITAMIN PLUS IRON 60,bayer,280354,15.99,56500356208,1,60 tabs,,2027-05-31,t,1,0,0,9.03,109,,,,,,,,,,,,,,,,,,,
2134,XMAS KINDER HOLLOW T6 90G,kinder,62020025746,9.99,62020025746,10,90g (6x15g),,,t,10,0,0,5.27,109,,,,,,,,,,,,,,,,,,,
2135,WERTHERS ROLL  50G,Storck,72799009014,1.49,72799009014,19,50g,,,t,20,1,0,0.9,109,,,,,,,,,,,,,,,,,,,
2162,ORAJEL COLD SORES 3X MEDICATED GEL 5.3G,orajel,146700,14.99,59972102496,3,5.3g,,2027-08-27,t,3,0,0,7.09,109,,,,,,,,,,,,,,,,,,,
2163,HUGO CRUTCH TIPS LG 2/PQT,Hugo,116315,7.99,754021210930,5,1 pair,,,f,5,0,0,4.1,109,,,,,,,,,,,,,,,,,,,
562,ORAJEL GEL XST 9.5G,Orajel,150238,9.99,59972071303,4,9.5 g,,,t,9,5,0,5.53,109,,,,,,,,,,,,,,,,,,,
2164,JAMIESON MAGN BISGLYCINATE CAPS 100MG 70,jamieson,195825,23.99,64642101846,1,70 caps,,2027-08-31,t,1,0,0,14.37,109,,,,,,,,,,,,,,,,,,,
2136,XMAS FERRERO ROCHER T5 62.5G,Ferrero,62020001207,7.99,62020001207,1,62.5g,,,t,1,0,0,3.68,109,,,,,,,,,,,,,,,,,,,
2137,MCK GLOVES EXAM NITRILE PD-FREE MD 200,McKesson,178667,25.99,612479181649,1,200,,,t,1,0,0,19.04,109,,,,,,,,,,,,,,,,,,,
2165,OPTION+ CRUTCH TIPS LG,option +,188184,7.99,771290033275,8,1 pair,,,f,8,0,0,3.56,109,,,,,,,,,,,,,,,,,,,
2138,MCK GLOVES EXAM NITRILE PD-FREE SM 200,Mckesson,178662,25.99,612479181625,6,200,,,t,6,0,0,19.04,109,,,,,,,,,,,,,,,,,,,
2166,STREPSILS LOZ HONEY&LEMON 36,strepsils,203754,12.99,363824992242,5,36 lozenges,,2027-01-31,t,7,2,0,7.78,109,,,,,,,,,,,,,,,,,,,
2139,ADVIL COLD&SINUS NIGHT TB 200MG 40,Advil,24245,26.99,62107005470,3,40 caps,,2027-01-31,t,3,0,0,16.41,109,,,,,,,,,,,,,,,,,,,
2167,RESTORALAX 7 DOSES 119G,bayer,730341,12.99,56219823077,7,119g,,2027-05-31,t,9,2,0,7.53,109,,,,,,,,,,,,,,,,,,,
2141,B-READY,Nutella,170550,1.49,62020072016,21,22g,Nutella bar,,t,21,0,0,0,109,,,,,,,,,,,,,,,,,,,
1934,OTC THUMB STABILIZER RIGHT SMALL,OTC,2074,44.99,48503207403,2,1,,,f,2,0,0,30.7,109,,,,,,,,,,,,,,,,,,,
2142,RICE KRISPIES SQUARES ORIGINAL 62G,Kellog's,64100729698,1.99,64100729698,11,62g,,2026-07-18,t,12,1,0,0.82,109,,,,,,,,,,,,,,,,,,,
2194,TOOTHPASTE COLGATE TOTAL CLEAN MINT 170ML,Colgate,134683,8.99,58000142169,5,170ml,,2027-08-31,t,5,0,0,5.45,109,,,,,,,,,,,,,,,,,,,
2195,TOOTHPASTE COLGATE TOTAL CLEAN MINT 120ML,colgate,134675,6.99,58000142091,4,120ml,,2027-09-30,t,4,0,0,4.22,109,,,,,,,,,,,,,,,,,,,
2196,TOOTHPASTE COLGATE TOTAL WHITENING 120ML,colgate,134677,6.99,58000142107,6,120ml,,2027-10-31,t,6,0,0,4.22,109,,,,,,,,,,,,,,,,,,,
2197,TOOTHPASTE COLGATE TOTAL CLEAN MINT 70ML,colgate,134715,3.99,58000142411,7,70ml,,2027-03-31,t,7,0,0,2.07,109,,,,,,,,,,,,,,,,,,,
2198,TOOTHPASTE COLGATE MAXFRESH CLEAN MINT 150ML,Colgate,134415,6.99,58000142343,2,150ml,,2027-06-30,t,2,0,0,4.22,109,,,,,,,,,,,,,,,,,,,
2199,COLGATE TOOTHPASTE SENSITIVE PRO RELIEF WHT 120ML,Colgate,15940,10.99,58000310063,2,120ml,,2027-07-31,t,2,0,0,6.5,109,,,,,,,,,,,,,,,,,,,
2200,CREST PRO-HEALTH TOOTHPASTE CLEAN MNT 130ML,Crest,109562,6.99,56100079330,3,130ml,,2028-07-31,t,3,0,0,4.1,109,,,,,,,,,,,,,,,,,,,
2000,MKO ARTHRITIS GLOVES WITH GRIP XL,MKO,LM7760,29.99,738435173111,2,1,,,t,2,0,0,0,109,,,,,,,,,,,,,,,,,,,
566,PREVIDENT TOOTHPASTE 5000 PLUS SPEARMINT 39ML,Colgate,20779,17.99,38341287026,6,39ml,,2027-04-30,t,11,5,0,10.12,109,,,,,,,,,,,,,,,,,,,
584,X-PUR XYLITOL MINTS MINT 130,X-Pur,30223,11.99,663635000298,3,130 ct,,,t,4,1,0,7.13,109,,,,,,,,,,,,,,,,,,,
53,KNEEDIT KNEE RELIEF SUPPORT,KneedIT,,54.99,48503242206,1,1 support,,,t,1,0,0,0,109,,,,,,,,,,,,,,,,,,,
57,AIRCAST A60 ANKLE BRACE - MEDIUM,AIRCAST,,109.99,15421006456,1,1 brace,Medium,,f,1,0,0,0,109,,,,,,,,,,,,,,,,,,,
79,TRUFORM OPAQUE PANTYHOSE 20-30 - LARGE/BEIGE,Truform,0365BG-L,109.99,48503036553,1,1 unit,"20-30
Large
Beige",,t,1,0,0,0,109,,,,,,,,,,,,,,,,,,,
556,GUM SOFT-PICKS 80,GUM,17932,6.99,70942304467,1,80 ct,,,t,1,0,0,4.09,109,,,,,,,,,,,,,,,,,,,
553,TOOTHBRUSH COLGATE EXTRA CLEAN SOFT,Colgate,548750,2.99,58000308763,0,1,,,t,0,0,0,1.65,109,,,,,,,,,,,,,,,,,,,
554,GUM PROXABRUSH REFILL WIDE 10,GUM,17946,6.99,70942305143,5,10 ct,,,t,5,0,0,3.81,109,,,,,,,,,,,,,,,,,,,
555,PLACKERS FLOSSERS DENTAL MICRO MINT 75,Plackers,151923,4.99,651080196048,0,75 ct,,,t,0,0,0,2.55,109,,,,,,,,,,,,,,,,,,,
557,STIMUDENT CLEANSER MINT 4X25,The Natural Dentist,154021,3.99,334362000133,0,100 ct,,,t,0,0,0,2.24,109,,,,,,,,,,,,,,,,,,,
558,GUM DENTALFLOSS EEZ-THRU THREADER 25,GUM,447755,3.99,70942098403,0,25 ct,,,t,0,0,0,2.36,109,,,,,,,,,,,,,,,,,,,
559,CONVATEC ORABASE - ORAL PROTECTIVE PASTE,Convatec,56564,18.99,456781567803,0,7.5 g,,,t,0,0,0,0,109,,,,,,,,,,,,,,,,,,,
561,ORAJEL ULTRA CANKER SORE GEL 9.5G,OraJel,796516,8.99,59972101604,0,9.5 g,,,t,0,0,0,5.53,109,,,,,,,,,,,,,,,,,,,
563,AQUAFRESH CAVITY PROTECTION FRESH MINT 90ML,AquaFresh,19645,3.99,60815035529,0,90ml,,,t,0,0,0,2.58,109,,,,,,,,,,,,,,,,,,,
564,AQUAFRESH TOOTHPASTE EXTREME CLEAN POWERWHITE 90ML,AquaFresh,2926,3.99,60815034881,0,90ml,,,t,0,0,0,2.58,109,,,,,,,,,,,,,,,,,,,
568,FIXODENT PD EXTRA HOLD 77G,Fixodent,468033,10.99,56100007807,0,62 ml X 2,,,t,0,0,0,6.25,109,,,,,,,,,,,,,,,,,,,
567,TOOTHPASTE PREVIDENT BOOST GEL 1.1% SPEARMINT100ML,Colgate,166389,16.99,38341105955,1,100ml,,,t,1,0,0,10.12,109,,,,,,,,,,,,,,,,,,,
560,DENTAL FLOSS ORAL B SUPERFLOSS MINT 50,Oral-B,108944,5.99,300410825706,4,50 ct,,,t,5,1,0,3.49,109,,,,,,,,,,,,,,,,,,,
565,TOOTHPASTE COLGATE TOTAL WHITENING 170ML,Colgate,134880,7.99,58000142176,4,170ml,,,t,4,0,0,5.45,109,,,,,,,,,,,,,,,,,,,
571,TOOTHPASTE SENSODYNE RAPID RELIEF 75ML,Sensodyne ,132227,10.99,60815052854,0,75 ml, ,,t,0,0,0,7.17,109,,,,,,,,,,,,,,,,,,,
572,CREST PRO-H GUM DETOXIFY T/P DEEP CLEAN 90ML,Crest,177723,9.99,30772062067,0,90 ml,,,t,0,0,0,6.46,109,,,,,,,,,,,,,,,,,,,
578,LISTERINE GREEN TEA ZERO 1L,Listerine,145856,13.99,62600349828,0,1L,,,t,0,0,0,7.88,109,,,,,,,,,,,,,,,,,,,
582,POLIDENT OVERNIGHT TB 40,Polident,511200,8.99,69682040193,1,40 ct,,2028-02-29,t,1,0,0,5.18,109,,,,,,,,,,,,,,,,,,,
585,X-PUR XYLITOL FRUIT MINTS 130,X-Pur,30229,11.99,663635000304,0,130 ct,,,t,0,0,0,7.13,109,,,,,,,,,,,,,,,,,,,
583,POLIDENT OVERNIGHT 96,Polident,278218,15.99,69682165001,13,96 ct,,2028-12-31,t,20,7,0,9.57,109,,,,,,,,,,,,,,,,,,,
579,OPTI-RINSE ORAL RINSE 0.05% GRAPE 500ML,Opti-Rinse,151486,15.99,663635001226,7,500 ml,,2028-03-31,t,8,1,0,9,109,,,,,,,,,,,,,,,,,,,
581,ORAJEL MOUTHWASH ANTISEPTIC SOOTHING MINT 473ML,Orajel,178276,18.99,59972102557,2,473 ml, ,2026-08-31,t,3,1,0,11.28,109,,,,,,,,,,,,,,,,,,,
